,N,N (%) converted,HR,p,0,12,24,36,48,60,72,84,96,108,120,132,144
CSF-/PET-,129,4 (3),,,129,124,120,99,94,82,75,61,54,37,20,2,0
CSF+/PET-,8,1 (12),,,8,7,6,5,5,4,4,4,3,3,1,0,0
CSF-/PET+,22,2 (9),"2.14 [0.29, 16.06]",0.458,22,22,20,16,15,13,11,8,7,2,2,0,0
CSF+/PET+,46,4 (9),,,46,40,39,31,30,21,14,13,10,6,3,0,0
