,N,N (%) converted,HR,p,0,12,24,36,48,60,72,84,96,108,120,132,144
CSF-/PET-,148,18 (12),,,148,141,133,118,103,77,62,55,42,33,24,13,2
CSF+/PET-,16,2 (12),"0.74 [0.27, 2.02]",0.558,16,15,13,12,8,6,6,6,6,5,4,4,0
CSF-/PET+,25,3 (12),"0.72 [0.32, 1.64]",0.435,25,25,19,19,16,13,10,9,8,6,5,3,0
CSF+/PET+,176,97 (55),"4.26 [2.99, 6.07]",< 0.001,176,167,149,122,93,64,35,27,17,8,5,1,1
